"CODE","PV","DATE"
"CODE Article","Prix De Vente nombre","Format AAAAMMDD"
"494086","46.95","20190110"
"494087","46.95","20190110"
"494088","51.95","20190110"
"494089","51.95","20190110"
"494090","51.95","20190110"
"494094","51.95","20190110"
"494095","65.95","20190110"
"494096","23.95","20190110"
"804025","9.95","20190110"
"807697","5.95","20190110"
"807698","4.95","20190110"
"807699","7.95","20190110"
"807700","7.95","20190110"
"807712","9.95","20190110"
"811762","13.95","20190110"
"811763","13.95","20190110"
"811764","13.95","20190110"
"811765","13.95","20190110"
"811767","13.95","20190110"
"811768","13.95","20190110"
"811769","14.95","20190110"
"811770","13.95","20190110"
"811771","18.95","20190110"
"811772","18.95","20190110"
"811773","18.95","20190110"
"811774","18.95","20190110"
"811776","18.95","20190110"
"811777","18.95","20190110"
"811778","18.95","20190110"
"811779","17.95","20190110"
"811780","24.95","20190110"
"811781","24.95","20190110"
"811782","24.95","20190110"
"811783","24.95","20190110"
"811785","24.95","20190110"
"811786","24.95","20190110"
"811787","25.95","20190110"
"811788","26.95","20190110"
"811880","45.95","20190110"
"811881","45.95","20190110"
"811883","43.95","20190110"
"811884","43.95","20190110"
"811885","43.95","20190110"
"811887","19.95","20190110"
"811892","36.95","20190110"
"811893","36.95","20190110"
"811894","36.95","20190110"
"811895","35.95","20190110"
"811896","35.95","20190110"
"811910","39.95","20190110"
"811911","39.95","20190110"
"811912","39.95","20190110"
"811913","39.95","20190110"
"811915","39.95","20190110"
"811916","39.95","20190110"
"811917","39.95","20190110"
"811923","26.95","20190110"
"811924","26.95","20190110"
"811925","26.95","20190110"
"811926","26.95","20190110"
"811928","26.95","20190110"
"811929","26.95","20190110"
"811930","26.95","20190110"
"811932","35.95","20190110"
"811933","35.95","20190110"
"811934","35.95","20190110"
"811935","35.95","20190110"
"811937","35.95","20190110"
"811938","35.95","20190110"
"811939","35.95","20190110"
"811944","45.95","20190110"
"811945","45.95","20190110"
"811946","45.95","20190110"
"811947","45.95","20190110"
"811949","45.95","20190110"
"811950","45.95","20190110"
"811951","45.95","20190110"
"811953","54.95","20190110"
"811954","54.95","20190110"
"811955","54.95","20190110"
"811956","54.95","20190110"
"811958","54.95","20190110"
"811959","54.95","20190110"
"811960","54.95","20190110"
"816974","4.95","20190110"
"816980","8.95","20190110"
"826837","19.95","20190110"
"826843","19.95","20190110"
"830408","11.95","20190110"
"834272","9.95","20190110"
"834274","16.95","20190110"
"834275","12.95","20190110"
"834277","12.95","20190110"
"834278","21.95","20190110"
"834279","17.95","20190110"
"834280","15.95","20190110"
"834282","23.95","20190110"
"834284","24.95","20190110"
"834285","12.95","20190110"
"834286","15.95","20190110"
"834288","11.95","20190110"
"834289","26.95","20190110"
"834291","25.95","20190110"
"834293","7.95","20190110"
"834294","12.95","20190110"
"835298","69.95","20190110"
"835301","69.95","20190110"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
