"CODE","PA","FOU","DATE"
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD"
"478496","1.4","100060","20190101"
"478497","1.5","100060","20190101"
"482746","12.22","100060","20190101"
"484919","17.3","100060","20190101"
"497438","13.5","100060","20190101"
"497439","13.5","100060","20190101"
"497440","10.51","100060","20190101"
"497441","4.89","100060","20190101"
"497442","7.74","100060","20190101"
"497982","24.4","100060","20190101"
"498675","56.16","100060","20190101"
"509110","3.28","100060","20190101"
"509111","4.64","100060","20190101"
"804227","11.94","100060","20190101"
"804228","11.94","100060","20190101"
"804229","1.92","100060","20190101"
"804230","15.81","100060","20190101"
"804231","1.75","100060","20190101"
"804232","57.65","100060","20190101"
"804233","69.17","100060","20190101"
"804234","88.94","100060","20190101"
"805530","8.96","100060","20190101"
"805531","11.4","100060","20190101"
"805533","9.03","100060","20190101"
"805534","14.77","100060","20190101"
"805535","9.08","100060","20190101"
"805537","5.33","100060","20190101"
"805538","6.33","100060","20190101"
"805539","6.33","100060","20190101"
"805540","4.68","100060","20190101"
"805541","8.33","100060","20190101"
"805542","4.68","100060","20190101"
"805557","7.21","100060","20190101"
"808765","1.42","100060","20190101"
"809386","7.21","100060","20190101"
"809387","4.92","100060","20190101"
"811572","42.8","100060","20190101"
"811629","2.38","100060","20190101"
"811646","0.82","100060","20190101"
"811663","24.45","100060","20190101"
"811664","24.45","100060","20190101"
"812061","54.81","100060","20190101"
"812118","6.23","100060","20190101"
"812120","6.23","100060","20190101"
"812127","56.04","100060","20190101"
"812128","1.71","100060","20190101"
"812149","3.5","100060","20190101"
"812610","10.06","100060","20190101"
"812611","7.74","100060","20190101"
"813757","60.5","100060","20190101"
"814427","7.15","100060","20190101"
"814428","9.72","100060","20190101"
"814429","14.65","100060","20190101"
"814430","16.54","100060","20190101"
"814431","22","100060","20190101"
"814432","2.62","100060","20190101"
"814433","6.76","100060","20190101"
"814434","3.14","100060","20190101"
"814435","8.11","100060","20190101"
"814436","3.77","100060","20190101"
"814437","10.23","100060","20190101"
"814438","3.19","100060","20190101"
"814439","3.47","100060","20190101"
"814440","3.58","100060","20190101"
"814441","0.88","100060","20190101"
"814442","1.67","100060","20190101"
"814443","2.14","100060","20190101"
"815667","14.5","100060","20190101"
