"Code","EAN","Four.Source","Description","Fournisseur","Rayon/Sous-rayon","Famille","Marque","P.A SOURCES €","PC ","PV","MARGE","NOUVEAU PA HT  ","ECART","COUTS LOG 2020","PC MAG","PV €","Marge","Stock","Statut","Gamme","Classement","CSS","Référence produit","En cours Cde","En cours Réc.","ventes 28J","vts 28j-1A","Besoin brt","PCB","Liste des EAN(s)","Nom Four.Source","PA Four.Source","Nature","Statut référencement","Date de mise sur le marché","Date de fin","TVA","DEEE HT","Taxes2"
"845561","3700602111049","100211","ANIMALIS CATAIRE 80GR","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","ANIMALIS","1.55","1.71","6.95","0.70474820143885","1.553","0.0019354838709677","0.09","1.69277","6.95","0.70772316546763","430","VC","A","BBB","259","26037","32","8","322","0","213","8","3700602111049,,,,","GASCO MOREAU","1.55","PERM","03","29/01/2020","","TxStd 20.%","0.00",""
"825243","3700602097961","100211","ANIMALIS BALLE DE MILLET ANISE","PF1 - LOGISTIQUE MEUNG","3       /  14","75 - Friandises","ANIMALIS","2.199","2.53","6.5","0.53292307692308","2.199","0","0.15","2.52885","6.4970454545455","0.53292307692308","234","VC","A","B","132","26001","104","0","58","18","34","8"," , ,3700602097961,","GASCO MOREAU","2.199","PERM","03","13/07/2017","","TxStd 20.%","0.00",""
"825247","3700602098005","100211","ANIMALIS CATNIP 30G","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","ANIMALIS","0.873","0.95","5.5","0.79272727272727","0.873","0","0.09","0.95157","5.5090894736842","0.79272727272727","717","VC","A","AAA","543","26005","440","140","616","168","415","20"," , ,3700602098005,","GASCO MOREAU","0.873","PERM","04","13/07/2017","","TxStd 20.%","0.00",""
"825252","3700602098050","100211","ANIMALIS MILLET GRAP RGE 1KG","PF1 - LOGISTIQUE MEUNG","3       /  14","75 - Friandises","ANIMALIS","4.453","5.12","9.95","0.38251256281407","4.453","0","0.15","5.12095","9.9518461914063","0.38251256281407","654","VC","A","AAA","418","26010","330","10","326","109","210","10"," , ,3700602098050,","GASCO MOREAU","4.453","PERM","03","13/07/2017","","Réduit 10%","0.00",""
"825259","3700602098128","100211","ANIMALIS TAPIS CHANV/COTON TS","PF1 - LOGISTIQUE MEUNG","2       /  11","57 - Litieres petits animaux","ANIMALIS NAT","2.113","3.34","7.5","0.4656","2.113","0","0.58","3.33854","7.4967215568862","0.4656","486","VC","A","A","214","26021","100","10","170","63","108","10"," , ,3700602098128,","GASCO MOREAU","2.113","PERM","03","13/07/2017","","TxStd 20.%","0.00",""
"825260","3700602098135","100211","ANIMALIS TAPIS CHANV OISEAU","PF1 - LOGISTIQUE MEUNG","3       /  14","78 - sable et fond de cages","ANIMALIS NAT","4.241","6.4","12.95","0.40694980694981","4.241","0","0.51","6.40391","12.957911640625","0.40694980694981","610","VC","A","AA","148","26022","16","0","106","19","65","8"," , ,3700602098135,","GASCO MOREAU","4.241","PERM","03","13/07/2017","","TxStd 20.%","0.00",""
"825261","3700602098142","100211","ANIMALIS TAPIS CHANV 110X50CM","PF1 - LOGISTIQUE MEUNG","2       /  11","57 - Litieres petits animaux","ANIMALIS NAT","4.241","6.7","12.95","0.37915057915058","4.241","0","0.58","6.70078","12.95150761194","0.37915057915058","806","VC","A","AAA","540","26023","304","24","678","207","457","8"," ,3700602098142,,","GASCO MOREAU","4.241","PERM","03","13/07/2017","","TxStd 20.%","0.00",""
"825262","3700602098159","100211","ANIMALIS NID COTON 100G","PF1 - LOGISTIQUE MEUNG","3       /  89","87 - Accessoires oiseaux nature","ANIMALIS NAT","1.207","1.4","5.5","0.69454545454545","1.207","0","0.16","1.40012","5.5004714285714","0.69454545454545","496","VC","A","AA","255","26026","20","20","194","39","125","10"," , ,3700602098159,","GASCO MOREAU","1.207","PERM","03","13/07/2017","","TxStd 20.%","0.00",""
"825266","3700602098197","100211","ANIMALIS BUCHETTE NOISETI 120G","PF1 - LOGISTIQUE MEUNG","2       /  11","56 - Parapharmacie et hygiene","ANIMALIS NAT","1.125","1.25","5.95","0.74789915966387","1.125","0","0.11","1.24875","5.94405","0.74789915966387","584","VC","A","AAA","377","26030","304","16","316","108","207","8"," , ,3700602098197,","GASCO MOREAU","1.125","PERM","03","","","TxStd 20.%","0.00",""
"825267","3700602098203","100211","ANIMALIS MAIS COULEUR 260G","PF1 - LOGISTIQUE MEUNG","2       /  11","55 - Friandises","ANIMALIS NAT","1.976","2.15","6.95","0.62877697841727","1.976","0","0.09","2.15384","6.9624130232558","0.62877697841727","466","VC","A","AAA","307","26031","32","8","310","110","206","8"," , ,3700602098203,","GASCO MOREAU","1.976","PERM","04","13/07/2017","","Réduit 10%","0.00",""
