"Code","EAN","Four.Source","Description","Fournisseur","Rayon/Sous-rayon","Famille","Marque","P.A SOURCES €","PC ","PV","MARGE","NOUVEAU PA HT  ","ECART","COUTS LOG 2020","PC MAG","PV €","Marge","Stock","Statut","Gamme","Classement","CSS","Référence produit","En cours Cde","En cours Réc.","ventes 28J","vts 28j-1A","Besoin brt","PCB","Liste des EAN(s)","Nom Four.Source","PA Four.Source","Nature","Statut référencement","Date de mise sur le marché","Date de fin","TVA","DEEE HT","Taxes2"
"824082","3700602095264","100068","ANIMALIS MELANGE POUSSIN 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","3.027","4.21","7.5","0.3264","3.027","0","0.39","4.20753","7.4955997624703","0.3264","462","VC","A","AA","319","26004-30","23","13","338","155","178","1","3700602095264,","GASCO","3.027","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"824084","3700602095523","100068","ANIMALIS MAIS 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","2.156","3","6.5","0.44615384615385","2.156","0","0.39","2.99684","6.4931533333333","0.44615384615385","151","VC","A","BBB","196","26001-10","91","0","130","28","63","1","3700602095523,","GASCO","2.156","PERM","04","17/05/2017","29/01/2020","Réduit 10%","0.00",""
"824085","3700602095530","100068","ANIMALIS MAIS CONCASSE 4KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","2.147","2.98","6.5","0.44984615384615","2.147","0","0.39","2.98433","6.5094446308725","0.44984615384615","704","VC","A","BBB","185","26002-10","1","3","166","57","85","1","3700602095530,","GASCO","2.147","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"824086","3700602095547","100068","ANIMALIS MELANGE PONDEUSE 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","3.304","4.59","8.95","0.38458100558659","3.304","0","0.39","4.59256","8.9549917211329","0.38458100558659","355","VC","A","AAA","446","26003-10","838","18","442","207","242","1","3700602095547,","GASCO","3.304","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"824087","3700602095554","100068","ANIMALIS MEL POULE SUP 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","3.107","4.32","8.5","0.39011764705882","3.107","0","0.39","4.31873","8.4975011574074","0.39011764705882","408","VC","A","A","188","26005-10","406","4","130","57","63","1","3700602095554,","GASCO","3.107","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"836306","3450554409915","100068","ARACHIDES DECORTIQUEES 2 KG","PF1 - LOGISTIQUE MEUNG","3       /  89","76 - Alimentation et animaux nature","GASCO","3.775","4.38","9.95","0.47175879396985","3.775","0","0.16064682677062","4.3814417710591","9.953275256173","0.47175879396985","353","VC","B","BB","138","70162","0","8","78","21","42","8","3450554409915,,,","GASCO","3.775","PERM","03","12/10/2018","","TxStd 20.%","0.00",""
"836307","3450554409946","100068","TOURNESOL DECORTIQUE 2KG","PF1 - LOGISTIQUE MEUNG","3       /  89","76 - Alimentation et animaux nature","GASCO","2.983","3.46","8.95","0.53608938547486","2.983","0","0.16064682677062","3.4622094842568","8.9557152844214","0.53608938547486","377","VC","B","BBB","110","70165","0","0","102","23","56","8","3450554409946,,,","GASCO","2.983","PERM","03","12/10/2018","","TxStd 20.%","0.00",""
"836320","3450553410271","100068","OISEAU DU CIEL BIO 5KG","PF1 - LOGISTIQUE MEUNG","3       /  89","76 - Alimentation et animaux nature","GASCO","8.495","9.86","17.95","0.3408356545961","8.495","0","0.16064682677062","9.8596947934164","17.949444375439","0.3408356545961","282","VC","B"," ","88","10127-10","0","0","82","5","41","1","3450553410271,,,","GASCO","8.495","SAISON","03","01/09/2019","31/03/2020","TxStd 20.%","0.00",""
"836321","3450553410295","100068","TOURNESOL NOIR BIO 5KG","PF1 - LOGISTIQUE MEUNG","3       /  89","76 - Alimentation et animaux nature","GASCO","7.784","9.03","17.95","0.39632311977716","7.784","0","0.16064682677062","9.0344748995825","17.958895287653","0.39632311977716","442","VC","B"," ","83","10128-10","0","0","24","3","10","1","3450553410295,,,","GASCO","7.784","SAISON","04","01/09/2019","31/03/2020","Réduit 10%","0.00",""
"836322","3450554409922","100068","MELANGE OISEAUX 4 SAISONS 2KG","PF1 - LOGISTIQUE MEUNG","3       /  89","76 - Alimentation et animaux nature","GASCO","2.01","2.33","4.5","0.37866666666667","2.01","0","0.16064682677062","2.3329001218089","4.5056010936224","0.37866666666667","259","VC","B","A","198","70163","337","34","304","69","164","1","3450554409922,,,","GASCO","2.01","PERM","03","12/10/2018","","TxStd 20.%","0.00",""
"836323","3450554409939","100068","MELANGE JARDIN D'HIVER 2KG","PF1 - LOGISTIQUE MEUNG","3       /  89","76 - Alimentation et animaux nature","GASCO","2.562","2.97","5.95","0.40100840336134","2.562","0","0.16064682677062","2.9735771701863","5.9571663847167","0.40100840336134","199","VC","B","BB","139","70164","12","14","96","32","52","1","3450554409939,,,","GASCO","2.562","PERM","03","12/10/2018","","TxStd 20.%","0.00",""
"845392","3700543085287","100068","LOTION ANTI GRATTE 240ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","6.045","6.89","14.5","0.42979310344828","6.045","0","0.14","6.8913","14.502735849057","0.42979310344828","578","VC","B","CCC","60","30113","6","0","28","0","13","1",",,,","GASCO","6.045","PERM","03","","","TxStd 20.%","0.00",""
"845393","3700543085003","100068","LOTION ANTI INSECTES 240ML","PF1 - LOGISTIQUE MEUNG","6       /  27","135 - Produits antiparasitaires chat","BIOVETOL","5.444","5.93","12.95","0.45050193050193","5.444","0","0.09","5.93396","12.958647892074","0.45050193050193","449","VC","B","CC","61","30114","0","0","14","0","7","1",",,,","GASCO","5.444","PERM","03","","","TxStd 20.%","0.00",""
"845394","3700543085294","100068","LOTION ANTI ODEUR 240ML","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","BIOVETOL","4.832","5.27","11.6","0.4548275862069","4.832","0","0.09","5.26688","11.593132447818","0.4548275862069","513","VC","B","CC","61","30115","3","2","32","0","14","1",",,,","GASCO","4.832","PERM","03","","","TxStd 20.%","0.00",""
"845395","3700543085164","100068","LOTION DENTAIRE 125ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","5.806","6.62","13.95","0.4305376344086","5.806","0","0.14","6.61884","13.947555589124","0.4305376344086","687","VC","B","B","66","30116","5","0","24","0","10","1",",,,","GASCO","5.806","PERM","03","","","TxStd 20.%","0.00",""
"845396","3700543085881","100068","LOTION DESTURINE CT 500+250ML ","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","BIOVETOL","6.862","7.48","16.5","0.456","6.862","0","0.09","7.47958","16.499073529412","0.456","334","VC","B","BB","66","30118","3","0","42","0","21","1",",,,","GASCO","6.862","PERM","03","","","TxStd 20.%","0.00",""
"845397","3700543085850","100068","LOTION DESTURINE CN 500+250ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","6.862","7.82","16.5","0.43127272727273","6.862","0","0.14","7.82268","16.505654731458","0.43127272727273","379","VC","B","B","63","30120","5","0","26","0","13","1",",,,","GASCO","6.862","PERM","03","","","TxStd 20.%","0.00",""
"845400","3700543085171","100068","LOTION OCULAIRE 125ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","4.217","4.81","10.5","0.45028571428571","4.217","0","0.14","4.80738","10.494280665281","0.45028571428571","700","VC","B","BB","76","30123","6","6","44","0","22","1",",,,","GASCO","4.217","PERM","03","","","TxStd 20.%","0.00",""
"845401","3700543085188","100068","LOTION OREILLES 125ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","4.832","5.51","11.6","0.43","4.832","0","0.14","5.50848","11.5968","0.43","598","VC","B","A","102","30124","16","0","98","0","50","1",",,,","GASCO","4.832","PERM","03","","","TxStd 20.%","0.00",""
"845402","3700543085980","100068","MOUSSE ANTI GRATTE 125ML","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","BIOVETOL","6.766","7.37","16.3","0.45742331288344","6.766","0","0.09","7.37494","16.310925644505","0.45742331288344","705","VC","B"," ","50","30125","6","0","4","0","2","1",",,,","GASCO","6.766","PERM","03","","","TxStd 20.%","0.00",""
"845403","3700543085997","100068","MOUSSE ANTI ODEUR 125ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","6.097","6.95","14.65","0.43071672354949","6.097","0","0.14","6.95058","14.651222589928","0.43071672354949","768","VC","B"," ","54","30126","1","0","6","0","3","1",",,,","GASCO","6.097","PERM","03","","","TxStd 20.%","0.00",""
"845404","3700543086512","100068","MOUSSE LAVANTE BIO 125ML","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","BIOVETOL","5.855","6.38","13.95","0.45118279569892","5.855","0","0.09","6.38195","13.954263714734","0.45118279569892","696","VC","B","CC","60","30127","3","1","26","0","12","1",",,,","GASCO","5.855","PERM","03","","","TxStd 20.%","0.00",""
"845405","3700543085577","100068","PIPETTES CHAT CHATON 1ML X3","PF1 - LOGISTIQUE MEUNG","6       /  27","135 - Produits antiparasitaires chat","BIOVETOL","7.096","7.73","16.95","0.45274336283186","7.096","0","0.09","7.73464","16.960174385511","0.45274336283186","512","VC","B","BB","74","30128","8","0","64","0","32","1",",,,","GASCO","7.096","PERM","03","","","TxStd 20.%","0.00",""
"845406","3700543085584","100068","PIPETTES CHIOT PT CN 1.5MLX3","PF1 - LOGISTIQUE MEUNG","5       /  21","114 - Produits antiparasit. chien","BIOVETOL","7.302","7.96","17.55","0.4557264957265","7.302","0","0.09","7.95918","17.548192085427","0.4557264957265","511","VC","B","BB","71","30129","8","4","50","0","24","1",",,,","GASCO","7.302","PERM","03","","","TxStd 20.%","0.00",""
"845407","3700543085607","100068","PIPETTES GRAND CHIEN 5ML X3","PF1 - LOGISTIQUE MEUNG","5       /  21","114 - Produits antiparasit. chien","BIOVETOL","7.795","8.5","18.55","0.45013477088949","7.795","0","0.09","8.49655","18.542470882353","0.45013477088949","563","VC","B"," ","52","30130","1","0","6","0","3","1",",,,","GASCO","7.795","PERM","03","","","TxStd 20.%","0.00",""
"845408","3700543085591","100068","PIPETTE MOYEN CHIEN 3ML X3","PF1 - LOGISTIQUE MEUNG","5       /  21","114 - Produits antiparasit. chien","BIOVETOL","7.547","8.23","17.95","0.44980501392758","7.547","0","0.09","8.22623","17.94177746051","0.44980501392758","563","VC","B","CC","58","30131","3","0","12","0","5","1",",,,","GASCO","7.547","PERM","03","","","TxStd 20.%","0.00",""
"845409","3700543085058","100068","SHAMPOING ANTI INSECTES 240ML","PF1 - LOGISTIQUE MEUNG","5       /  21","114 - Produits antiparasit. chien","BIOVETOL","4.832","5.27","11.95","0.4707949790795","4.832","0","0.09","5.26688","11.942925237192","0.4707949790795","465","VC","B","CC","60","30133","7","0","18","0","8","1",",,,","GASCO","4.832","PERM","03","","","TxStd 20.%","0.00",""
"845410","3700543085195","100068","SHAMPOING JUNIOR 240ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","5.447","6.21","13.95","0.4658064516129","5.447","0","0.14","6.20958","13.949056521739","0.4658064516129","584","VC","B","BB","79","30136","14","0","70","0","35","1",",,,","GASCO","5.447","PERM","03","","","TxStd 20.%","0.00",""
"845411","3700543085218","100068","SHAMPOING TOUS PELAGES 240ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","3.808","4.34","9.95","0.47658291457286","3.808","0","0.14","4.34112","9.9525677419355","0.47658291457286","573","VC","B","CC","61","30137","4","4","26","0","11","1",",,,","GASCO","3.808","PERM","03","","","TxStd 20.%","0.00",""
"845412","3700543086529","100068","SPRAY AMBIANCE O CALM 125ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","3.934","4.48","9.5","0.43410526315789","3.934","0","0.14","4.48476","9.51009375","0.43410526315789","737","VC","B"," ","58","30138","6","0","28","0","14","1",",,,","GASCO","3.934","PERM","03","","","TxStd 20.%","0.00",""
"845413","3700543085331","100068","SPRAY REPULSIF 240ML","PF1 - LOGISTIQUE MEUNG","6       /  27","136 - Parapharmacie / Hygiene chat","BIOVETOL","7.627","8.31","18.3","0.45508196721311","7.627","0","0.09","8.31343","18.307553429603","0.45508196721311","513","VC","B","B","60","30139","5","0","32","0","14","1",",,,","GASCO","7.627","PERM","03","","","TxStd 20.%","0.00",""
"831992","3700602100807","100297","ANIMALIS FOIN CAROTTE 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.457","2.21","6.95","0.61841726618705","1.457","0","0.52","2.21464","6.9645918552036","0.61841726618705","1480","VC","A","AAA","587","26101","535","25","598","308","314","5",",","GASCO BIOLIDIS","1.457","PERM","03","","","TxStd 20.%","0.00",""
"831993","3700602100821","100297","ANIMALIS FLEOLE DES PRES 500G","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.383","2.1","6.95","0.63741007194245","1.383","0","0.52","2.10216","6.9571485714286","0.63741007194245","1013","VC","A","AAA","481","26103","335","15","336","246","170","5",",","GASCO BIOLIDIS","1.383","PERM","03","","","Réduit 10%","0.00",""
"831994","3700602100722","100297","ANIMALIS FOIN MENTHE 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.481","2.25","6.95","0.61151079136691","1.481","0","0.52","2.25112","6.9534595555556","0.61151079136691","809","VC","A","AAA","499","26104","815","15","316","170","167","5",",","GASCO BIOLIDIS","1.481","PERM","03","","","TxStd 20.%","0.00",""
"831995","3700602100753","100297","ANIMALIS FOIN MENT EGLAN 500G","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.278","1.94","6.95","0.66503597122302","1.278","0","0.52","1.94256","6.9591711340206","0.66503597122302","731","VC","A","AA","466","26105","485","10","160","120","76","5",",","GASCO BIOLIDIS","1.278","PERM","03","","","TxStd 20.%","0.00",""
"831996","3700602100760","100297","ANIMALIS FOIN ORTIE SOUCI 500G","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.286","1.95","6.95","0.66330935251799","1.286","0","0.52","1.95472","6.9668225641026","0.66330935251799","592","VC","A","AA","461","26106","495","5","200","124","102","5",",","GASCO BIOLIDIS","1.286","PERM","03","","","TxStd 20.%","0.00",""
"831997","3700602100715","100297","ANIMALIS FOIN PISSENLIT 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.506","2.29","6.95","0.60460431654676","1.506","0","0.52","2.28912","6.9473292576419","0.60460431654676","1155","VC","A","AAA","552","26107","1000","20","500","333","264","5",",","GASCO BIOLIDIS","1.506","PERM","03","","","TxStd 20.%","0.00",""
"831998","3700602100777","100297","ANIMALIS FOIN PISSEN CAMO 500G","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.278","1.94","6.95","0.66503597122302","1.278","0","0.52","1.94256","6.9591711340206","0.66503597122302","878","VC","A","AAA","484","26108","485","15","356","189","187","5",",","GASCO BIOLIDIS","1.278","PERM","03","","","TxStd 20.%","0.00",""
"831999","3700602100814","100297","ANIMALIS FOIN POM BETT RGE 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.578","2.4","6.95","0.58561151079137","1.578","0","0.52","2.39856","6.94583","0.58561151079137","855","VC","A","AAA","500","26109","690","10","444","219","235","5",",","GASCO BIOLIDIS","1.578","PERM","03","","","TxStd 20.%","0.00",""
"832000","3700602100746","100297","ANIMALIS LUZERNE FLEOL BIO 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.422","2.16","7.95","0.67396226415094","1.422","0","0.52","2.16144","7.9553","0.67396226415094","1005","VC","A","AAA","508","26110","325","15","308","194","161","5",",","GASCO BIOLIDIS","1.422","PERM","03","","","Réduit 10%","0.00",""
"832001","3700602100784","100297","ANIMALIS PAILLE 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","57 - Litieres petits animaux","ANIMALIS NAT","0.784","1.24","5.95","0.74991596638655","0.784","0","0.58","1.23872","5.9438580645161","0.74991596638655","1162","VC","A","AAA","658","26111","1150","20","754","255","402","5",",","GASCO BIOLIDIS","0.784","PERM","03","","","Réduit 10%","0.00",""
"832002","3700602100791","100297","ANIMALIS PAILLE NATURELLE 8KG","PF1 - LOGISTIQUE MEUNG","2       /  11","57 - Litieres petits animaux","ANIMALIS NAT","3.816","6.03","19.95","0.63729323308271","3.816","0","0.58","6.02928","19.947617910448","0.63729323308271","793","VC","A","AAA","350","26112","525","14","464","104","240","2",",","GASCO BIOLIDIS","3.816","PERM","03","","","Réduit 10%","0.00",""
"832003","3700602100739","100297","ANIMALIS REGAIN BIO 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.639","2.49","7.95","0.62415094339623","1.639","0","0.52","2.49128","7.954086746988","0.62415094339623","752","VC","A","AAA","487","26113","495","5","198","165","103","5",",","GASCO BIOLIDIS","1.639","PERM","03","","","Réduit 10%","0.00",""
"832362","3700602100708","100297","ANIMALIS FOIN BIO 1KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","1.457","2.21","6.95","0.61841726618705","1.457","0","0.52","2.21464","6.9645918552036","0.61841726618705","1060","VC","A","AAA","596","26100","1010","45","602","364","316","5",",","GASCO BIOLIDIS","1.457","PERM","03","","","Réduit 10%","0.00",""
"832363","3700602100692","100297","ANIMALIS FOIN DES PRES 8KG","PF1 - LOGISTIQUE MEUNG","2       /  11","54 - Foins complement alimentation","ANIMALIS NAT","4.309","6.55","17.95","0.56211699164345","4.309","0","0.52","6.54968","17.949123053435","0.56211699164345","793","VC","A","AAA","268","26102","130","6","256","113","129","1",",","GASCO BIOLIDIS","4.309","PERM","03","","","Réduit 10%","0.00",""
"","","","","","","","","","","","#DIV/0!","","#DIV/0!","","0","#DIV/0!","#DIV/0!","","","","","","","","","","","","","","","","","","","","","",""
