"CODE","PV","DATE"
"CODE Article","Prix De Vente nombre","Format AAAAMMDD"
"497439","33.5","20190110"
"497440","27.5","20190110"
"497441","12.75","20190110"
"497442","19.5","20190110"
"497982","42.95","20190110"
"498675","104.95","20190110"
"501242","12.9517579722","20190110"
"501244","12.9517579722","20190110"
"509110","10.5","20190110"
"509111","14.95","20190110"
"804227","31.5","20190110"
"804228","24.95","20190110"
"804229","5.1","20190110"
"804230","31.5","20190110"
"804231","3.5","20190110"
"804232","122.5","20190110"
"804233","132.5","20190110"
"804234","168.95","20190110"
"805530","30.95","20190110"
"805531","30.95","20190110"
"805533","30.95","20190110"
"805534","41.5","20190110"
"805535","26.95","20190110"
"805537","20.5","20190110"
"805538","20.5","20190110"
"805539","20.5","20190110"
"805540","16.5","20190110"
"805541","26.5","20190110"
"805542","16.5","20190110"
"805557","20.5","20190110"
"808573","10.950764006791","20190110"
"808764","1.9502868068834","20190110"
"808765","6.5","20190110"
"809386","15.95","20190110"
"809387","12.95","20190110"
"809793","69.954086317723","20190110"
"811629","8.2","20190110"
"812061","104.95","20190110"
"812118","16.2","20190110"
"812120","16.2","20190110"
"812127","104.95","20190110"
"812128","3.9968835216206","20190110"
"812149","10.2","20190110"
"813757","124.95","20190110"
"814427","16.95","20190110"
"814428","20.95","20190110"
"814429","35.95","20190110"
"814430","39.95","20190110"
"814431","51.5","20190110"
"814432","7.2","20190110"
"814433","18.5","20190110"
"814434","9.2","20190110"
"814435","20.5","20190110"
"814436","10.2","20190110"
"814437","25.5","20190110"
"814438","9.2","20190110"
"814439","9.2","20190110"
"814440","9.2","20190110"
"814441","3.2","20190110"
"814442","5.1","20190110"
"814443","6.1","20190110"
"815667","30.5","20190110"
"816109","192.95","20190110"
"816110","223.95","20190110"
"816111","273.95","20190110"
"816112","337.95","20190110"
"816286","32.5","20190110"
"816287","34.2","20190110"
"816288","33.5","20190110"
"816784","15.2","20190110"
"817118","17.5","20190110"
"817119","25.5","20190110"
"817120","40.95","20190110"
"817256","34.952583704277","20190110"
"817274","59.003436426117","20190110"
"817283","179.01","20190110"
"817285","56.95","20190110"
"817286","109.95","20190110"
"817498","15.5","20190110"
"817629","34.95","20190110"
"817630","17.95","20190110"
"817631","18.95","20190110"
"817632","20.95","20190110"
"817633","21.95","20190110"
"817968","17.5","20190110"
"817970","61.5","20190110"
"817971","10.2","20190110"
"817972","161.5","20190110"
"817973","233.95","20190110"
"817974","30.95","20190110"
"817975","60.95","20190110"
"817976","16.5","20190110"
"817977","19.5","20190110"
"817978","30.5","20190110"
"817979","6.5","20190110"
"817980","7.5","20190110"
"817981","14.5","20190110"
"817982","6.3","20190110"
"818122","4.9502547925261","20190110"
"818333","9.5","20190110"
"818927","61.5","20190110"
"818929","7.950780880265","20190110"
"818932","7.950780880265","20190110"
"819687","39.95","20190110"
"819689","35.95","20190110"
"819701","29.9","20190110"
"819702","44.5","20190110"
"819709","20.95","20190110"
"819712","55.95","20190110"
"819713","32.95","20190110"
"819714","59.95","20190110"
"819720","44.95","20190110"
"820728","6.9504950495049","20190110"
"821450","20.025031289111","20190110"
"821458","18.95","20190110"
"821459","25.95","20190110"
"821769","89.95","20190110"
"822698","30.95","20190110"
"822701","30.95","20190110"
"822703","25.95","20190110"
"822713","13.2","20190110"
"822714","16.2","20190110"
"822767","15.951573849879","20190110"
"822992","30.5","20190110"
"822993","30.5","20190110"
"822994","30.5","20190110"
"822996","27.951996852253","20190110"
"822997","23.951255539143","20190110"
"823197","4.950495049505","20190110"
"823198","4.950495049505","20190110"
"823200","9.9505382601106","20190110"
"823205","4.950495049505","20190110"
"823206","7.9510022271715","20190110"
"823208","12.951096121417","20190110"
"823209","5.9507264687303","20190110"
"823210","5.9507264687303","20190110"
"823212","29.953322960658","20190110"
"823960","39.952707495862","20190110"
"825108","162.21198156682","20190110"
"825109","185.95","20190110"
"825112","16.5","20190110"
"825113","181.95","20190110"
"825114","65.95","20190110"
"825115","152.88021944529","20190110"
"826815","14.951696804558","20190110"
"826816","15.951492537313","20190110"
"826817","14.951696804558","20190110"
"826818","14.950819672131","20190110"
"828675","109.95","20190110"
"828676","145","20190110"
"828678","14.95","20190110"
"829330","92.5","20190110"
"829331","119.95","20190110"
"829332","199.95","20190110"
"829333","60.5","20190110"
"829334","82.5","20190110"
"829335","101.5","20190110"
"829336","28.5","20190110"
"829337","32.6","20190110"
"829338","37.2","20190110"
"829339","112.5","20190110"
"829340","153","20190110"
"829341","53.95","20190110"
"829342","63.5","20190110"
"829343","73.5","20190110"
"829344","137.5","20190110"
"829345","174.95","20190110"
"829346","201.95","20190110"
"829347","10.2","20190110"
"829348","12.2","20190110"
"829349","4.75","20190110"
"829351","15.5","20190110"
"829352","5.75","20190110"
"829353","16.95","20190110"
"829356","27.95","20190110"
"829357","31.95","20190110"
"829358","31.95","20190110"
"829359","38.5","20190110"
"829360","38.5","20190110"
"829362","15.95","20190110"
"829364","10.5","20190110"
"829365","6.95","20190110"
"829395","8.2005091051498","20190110"
"829396","11.500777604977","20190110"
"829399","11.500777604977","20190110"
"829985","193.95","20190110"
"829987","25.95","20190110"
"829988","42.95","20190110"
"829989","97.5","20190110"
"829990","135.5","20190110"
"829991","162.5","20190110"
"829992","184.5","20190110"
"829993","202.5","20190110"
"829994","214.95","20190110"
"829995","214.95","20190110"
"829996","202.5","20190110"
"829997","214.95","20190110"
"829998","232.95","20190110"
"829999","232.95","20190110"
"830000","214.95","20190110"
"830001","232.95","20190110"
"830002","258.95","20190110"
"830003","258.95","20190110"
"830004","232.95","20190110"
"830005","258.95","20190110"
"830006","279.5","20190110"
"830007","279.5","20190110"
"830008","278.5","20190110"
"830009","294.5","20190110"
"830010","305.95","20190110"
"830011","305.95","20190110"
"830012","294.95","20190110"
"830013","305.95","20190110"
"830014","323.5","20190110"
"830015","323.5","20190110"
"830016","323.5","20190110"
"830017","336.5","20190110"
"830018","336.5","20190110"
"830019","363.95","20190110"
"830020","345.5","20190110"
"830021","363.95","20190110"
"830022","382.95","20190110"
"830023","382.95","20190110"
"830156","13.95","20190110"
"830160","8.5","20190110"
"830161","10.3","20190110"
"830165","11.500742942051","20190110"
"830166","10.95","20190110"
"830167","11.500742942051","20190110"
"830168","11.500742942051","20190110"
"830169","11.500742942051","20190110"
"830724","9.75","20190110"
"830725","55.95","20190110"
"830726","122.95","20190110"
"830727","53.95","20190110"
"830728","7.2","20190110"
"830729","4.5","20190110"
"830730","3.6","20190110"
"830731","3.5","20190110"
"830732","5.7","20190110"
"830733","4.3","20190110"
"830734","12.2","20190110"
"830735","5.75","20190110"
"830736","7.5","20190110"
"832972","12.951236422464","20190110"
"833804","17.95","20190110"
"834440","5.2","20190110"
"835351","18.952029520295","20190110"
"835357","79.954685224146","20190110"
"836302","24.951383694839","20190110"
"836304","18.952331063384","20190110"
"836345","15.950920245399","20190110"
"836346","11.95","20190110"
"836375","5.900430239705","20190110"
"836376","6.5005417118093","20190110"
"836378","9.9005711867992","20190110"
"836379","9.9005711867992","20190110"
"836719","8.4507042253521","20190110"
"836720","8.4507042253521","20190110"
"836726","9.9506416584403","20190110"
"836727","5.9504132231405","20190110"
"836730","7.4504950495049","20190110"
"836739","37.452869710934","20190110"
"836746","32.951945080092","20190110"
"836747","26.952400576963","20190110"
"836750","41.952834091849","20190110"
"836752","39.952718676123","20190110"
"836757","48.954489544895","20190110"
"836759","41.952834091849","20190110"
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
