"Observations","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Code Sous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En kg ou litres","K pour KG, L pour Litre sinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multiple suivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vide si Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"","8711231173730","17373","100046","SHAMP DEMANGEA","BEA SHAMP BIO ANTI DEM 200 ML","BEA SHAMP BIO ANTI DEM 200 ML","","SHAMPOOING ANTI-DÉMANGEAISONS - EXTRAITS NATURELS DE MILLEPERTUIS & DE CASSIS - 200 ML","6","5","21","116","B","03","VC","PERM","BEAPHAR","N","0.2","K","0.23","","","","4.38","U","","3","1","01/06/2020","11.95","01/06/2020","","","","","1","","","","","","1","1","1","","O","01/06/2020","","O","N","","C",""
"","8711231173761","17376","100046","SHAMP SEC","BEA SHAMP SEC BIO 200 ML","BEA SHAMP SEC BIO 200 ML","","SHAMPOOING SEC BIO, SANS RINÇAGE - EXTRAITS NATURELS DE COQUELICOT & DE GRENADE - 200 ML","6","5","21","116","B","03","VC","PERM","BEAPHAR","N","0.2","K","0.23","","","","4.38","U","","3","1","01/06/2020","11.95","01/06/2020","","","","","1","","","","","","1","1","1","","O","01/06/2020","","O","N","","C",""
"","8711231173754","17375","100046","SPRAY DEMELANT","BEA SPRAY DEMELANT BIO 200 ML","BEA SPRAY DEMELANT BIO 200 ML","","SPRAY DÉMÊLANT BIO - EXTRAITS NATURELS DE MENTHE & HUILE DE BOURRACHE - 200 ML","6","5","21","116","B","03","VC","PERM","BEAPHAR","N","0.2","K","0.22","","","","4.38","U","","3","1","01/06/2020","11.95","01/06/2020","","","","","1","","","","","","1","1","1","","O","01/06/2020","","O","N","","C",""
"","8711231173785","17378","100046","BOT BON YEUX","BEA LOTION NET BIO YEUX 100 ML","BEA LOTION NET BIO YEUX 100 ML","","LOTION NETTOYANTE BIO POUR LES YEUX - 100 ML","6","5","21","115","B","03","VC","PERM","BEAPHAR","N","0.1","K","0.12","","","","3.4","U","","3","1","01/06/2020","8.95","01/06/2020","","","","","1","","","","","","1","1","1","","O","01/06/2020","","O","N","","C",""
"","8711231173778","17377","100046","BAI BO  OREILLES","BEA LAIT NET BIO OREILLES 100 ML","BEA LAIT NET BIO OREILLES 100 ML","","LAIT NETTOYANT BIO POUR LES OREILLES - 100 ML","6","5","21","115","B","03","VC","PERM","BEAPHAR","N","0.1","K","0.12","","","","3.73","U","","3","1","01/06/2020","9.95","01/06/2020","","","","","1","","","","","","1","1","1","","O","01/06/2020","","O","N","","C",""
"","8711231173747","17374","100046","SHAMP C","BIO SHAMP BIO CHAT  200 ML","BIO SHAMP BIO CHAT  200 ML","","SHAMPOOING BIO POUR CHAT ET CHATON - EXTRAITS NATURELS D'HUILE D'AVOCAT & DE ROSE - 200 ML","6","5","27","136","B","03","VC","PERM","BEAPHAR","N","0.2","K","0.23","","","","4.38","U","","3","1","01/06/2020","11.95","01/06/2020","","","","","1","","","","","","1","1","1","","O","01/06/2020","","O","N","","C",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
