"N° de colonne","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54"
"","5 412087 019212","222369","222369","","EDEN TRENDY CHIEN 350ML","EDEN TRENDY CHIEN 350ML","","EDEN TRENDY ÉCUELLE CHIEN 350ML","6","5","22","120","A","02","VC","COLLEC","MODERNA","N","0.081","K","0.081","","","","1.28","U","","6","","09/07/2020","3.85","09/07/2020","PF1","1.4592","U","","","","","","","","","","","","O","","","","","","C",""
"","5 412087 019236","222370","222370","","EDEN TRENDY CHIEN 735ML","EDEN TRENDY CHIEN 735ML","","EDEN TRENDY ÉCUELLE CHIEN 735ML","6","5","22","120","A","02","VC","COLLEC","MODERNA","N","0.15","K","0.15","","","","1.67","U","","6","","09/07/2020","5.1","09/07/2020","PF1","1.9038","U","","","","","","","","","","","","O","","","","","","C",""
"","5 412087 019250","222371","222371","","EDEN TRENDY DOUBLE 2X350ML","EDEN TRENDY DOUBLE 2X350ML","","EDEN TRENDY DOUBLE ÉCUELLE CHIEN 2X350ML","6","5","22","120","A","02","VC","COLLEC","MODERNA","N","0.144","K","0.144","","","","1.78","U","","6","","09/07/2020","5.35","09/07/2020","PF1","2.0292","U","","","","","","","","","","","","O","","","","","","C",""
"","5 412087 019380","222365","222365","","MEGA SMART TOILETTE CHAT 65CM","MEGA SMART TOILETTE CHAT 65CM","","MEGA SMART MAISON DE TOILETTE GRIS TITANIUM 65CM","6","6","27","138","A","02","VC","PERM","MODERNA","N","1.91","K","1.91","","","","10.82","U","","6","","09/07/2020","35.95","09/07/2020","PF1","13.525","U","","","","","","","","","","","","O","","","","","","C",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
