"Observations","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Code Sous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En kg ou litres","K pour KG, L pour Litre sinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multiple suivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vide si Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"","3116457614718","76147.1","3373","","CROISETTE SAC BOWLING T48 ROUGE ","CROISETTE SAC BOWLING T48 ROUGE ","","CROISETTE SAC BOWLING T48 ROUGE ","6","5","20","109","C","03","VC","COLLEC","IMAGE","N","0.93","K","0.93","","","0","23.1","U","","1","1","01/08/2020","49.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457614732","76147.3","3373","","CROISETTE SAC BOWLING T48 GRIS ","CROISETTE SAC BOWLING T48 GRIS ","","CROISETTE SAC BOWLING T48 GRIS ","6","5","20","109","C","03","VC","COLLEC","IMAGE","N","0.93","K","0.93","","","0","23.1","U","","1","1","01/08/2020","49.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457614817","76148.1","3373","","CROISETTE ROUGE TRAVEL PROTECTION VOITURE ","CROISETTE ROUGE TRAVEL PROTECTION VOITURE ","","CROISETTE ROUGE TRAVEL PROTECTION VOITURE ","6","5","20","121","C","03","VC","COLLEC","IMAGE","N","1.054","K","1.054","","","0","24.5","U","","1","1","01/08/2020","54.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457614831","76148.3","3373","","CROISETTE GRIS TRAVEL PROTECTION VOITURE ","CROISETTE GRIS TRAVEL PROTECTION VOITURE ","","CROISETTE GRIS TRAVEL PROTECTION VOITURE ","6","5","20","121","C","03","VC","COLLEC","IMAGE","N","1.054","K","1.054","","","0","24.5","U","","1","1","01/08/2020","54.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457606614","76066.1","3373","","COUS OVAL T55 BLEU FOLLOW ME ","COUS OVAL T55 BLEU FOLLOW ME ","","COUS OVAL T55 BLEU FOLLOW ME ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.264","K","0.264","","","0.05","8.61","U","","1","1","01/08/2020","19.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457606713","76067.1","3373","","COUS OVAL T65 BLEU FOLLOW ME  ","COUS OVAL T65 BLEU FOLLOW ME  ","","COUS OVAL T65 BLEU FOLLOW ME  ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.303","K","0.303","","","0.05","10.5","U","","1","1","01/08/2020","23.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457606812","76068.1","3373","","COUS OVAL T75 BLEU FOLLOW ME  ","COUS OVAL T75 BLEU FOLLOW ME  ","","COUS OVAL T75 BLEU FOLLOW ME  ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.366","K","0.366","","","0.05","12.95","U","","1","1","01/08/2020","28.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457606911","76069.1","3373","","COUS OVAL T89 BLEU FOLLOW ME  ","COUS OVAL T89 BLEU FOLLOW ME  ","","COUS OVAL T89 BLEU FOLLOW ME  ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.37","K","0.37","","","0.05","13.51","U","","1","1","01/08/2020","29.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457607017","76070.1","3373","","COUS OVAL T105 BLEU FOLLOW ME  ","COUS OVAL T105 BLEU FOLLOW ME  ","","COUS OVAL T105 BLEU FOLLOW ME  ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.445","K","0.445","","","0.05","18.76","U","","1","1","01/08/2020","41.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457607116","76071.1","3373","","PLAID BLEU FOLLOW ME ","PLAID BLEU FOLLOW ME ","","PLAID BLEU FOLLOW ME ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.459","K","0.459","","","0.05","16.8","U","","1","1","01/08/2020","37.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
