"N° de colonne","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54"
"Colonne","EAN13","REFPRO","SIGFOU","MOTCLE","NOMPRO","DESIGN1","DESIGN2","DESIGN_LONG","CODTVA","RAYON","SOUSRAYON","FAMILLE","GAMME","STATUT","CODBLOCAGE","NATURE","MARQUE","MDD","POIDSNET","UNICOL","POIDS","POIDS_INFO","VOLUME_INFO","D3E","PA","UNITE_ACHAT","NBUVC_ACHAT","QTEMIN","QOTITE","DATDEB_PA","PV","DATDEB_PV","PF_SIGTIE","PCESSION","UNITE_CESSION","NBUVC_CESSION","QTEMIN_CESSION","PV_PROMO","DATDEB_PV_PROMO","DATFIN_PV_PROMO","CIBLE_PROMO","MAGASIN_CREATION","CSS_PM","CSS_MM","CSS_GM","TYPOLOGIE","WEB","DATMAR","DATFINMAR","DLUO","SEGMENT_PRODUIT","DISPLAY","ACTION","CODPRO"
"Longueur / Type","13 Caractères","16 Caractères","12 Caractères","16 Caractères","30 Caractères","40 Caractères","40 Caractères","1000 Caractères","1 Caractère","6 Caractères","6 Caractères","6 Caractères","6 Caractères","6 Caractères","3 Caractères","6 Caractères","12 Caractères/ MAJUSCULES SS ACCENT","6 Caractères","Nombre","1 Caractère","Nombre","40 Caractères","40 Caractères","Nombre","Nombre","3 Caractères","Nombre","Nombre","Nombre","Date dd/mm/yyyy format Text","Nombre","Date dd/mm/yyyy format Text","12 Caractères","Nombre","3 Caractères","Nombre","Nombre","Nombre","Date dd/mm/yyyy en Text","Date dd/mm/yyyy format Text","12 Caractères","3 Caractères","Nombre","Nombre","Nombre","3 Caractères","1 Caractères","Date dd/mm/yyyy format Text","Date dd/mm/yyyy format Text","1 Caractères","12 Caractères","6 Caractères","12 Caractères","16 Caractères"
"Observations","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Code Sous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En kg ou litres","K pour KG, L pour Litre sinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multiple suivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vide si Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"Obligatoire","O","O","O","O","O","O","N","N","O","O","O","O","O","O","O","O","O","O","O","O","N","N","N","N","O","O","N","O","N","O","O","O","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","O",""
"","5414365340612","11934","12301","","PANIER TWEED SKY M 60X50X20CM","PANIER TWEED SKY M 60X50X20CM","","PANIER RECTANGULAIRE TWEED SKY M - 60X50X20CM BLEU/NOIR","6","5","20","110","B","03","VC","COLLEC","Duvo+","N","0.87","K ","0.873","","","0.06","16.5","U","","1","1","21/07/2020","34.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","5414365340643","11935","12301","","PANIER TWEED SKY L 80X60X24CM","PANIER TWEED SKY L 80X60X24CM","","PANIER RECTANGULAIRE TWEED SKY L - 80X60X24CM BLEU/NOIR","6","5","20","110","B","03","VC","COLLEC","Duvo+","N","1.5","K ","1.503","","","0.06","28","U","","1","1","21/07/2020","59.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","5414365340674","11936","12301","","PANIER OVALE TWEED SKY S ","PANIER OVALE TWEED SKY S ","","PANIER OVALE TWEED SKY S - 41X38X20CM BLEU/NOIR","6","5","20","110","B","03","VC","COLLEC","Duvo+","N","0.617","K ","0.62","","","0.06","11.2","U","","1","1","21/07/2020","24.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","5414365340704","11937","12301","","PANIER OVALE TWEED SKY M","PANIER OVALE TWEED SKY M","","PANIER OVALE TWEED SKY M - 61X51X22CM BLEU/NOIR","6","5","20","110","B","03","VC","COLLEC","Duvo+","N","0.8","K ","0.803","","","0.06","16.8","U","","1","1","21/07/2020","36.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","5414365340735","11938","12301","","PANIER OVALE TWEED SKY L","PANIER OVALE TWEED SKY L","","PANIER OVALE TWEED SKY L - 76X58X24CM BLEU/NOIR","6","5","20","110","B","03","VC","COLLEC","Duvo+","N","1.397","K ","1.4","","","0.06","25.5","U","","1","1","21/07/2020","54.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","31/12/2020","N","","","C",""
"","5414365358921","12350","12301","","LIT DE CAMP POUR CHIENS RELAX S","LIT DE CAMP POUR CHIENS RELAX S","","LIT DE CAMP POUR CHIENS RELAX 73,5X50X14CM GRIS","6","5","20","111","C","03","VC","PERM","Duvo+","N","1.8","K ","2","","","","16.99","U","","1","1","21/07/2020","36.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
"","5414365358938","12351","12301","","LIT DE CAMP POUR CHIENS RELAX M","LIT DE CAMP POUR CHIENS RELAX M","","LIT DE CAMP POUR CHIENS RELAX 89,5X57X19CM GRIS","6","5","20","111","C","03","VC","PERM","Duvo+","N","2.5","K ","2.8","","","","19.99","U","","1","1","21/07/2020","42.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
"","5414365358945","12352","12301","","LIT  DE CAMP POUR CHIENS RELAX L","LIT  DE CAMP POUR CHIENS RELAX L","","LIT  DE CAMP POUR CHIENS RELAX 102,5X68X19CM GRIS","6","5","20","111","C","03","VC","PERM","Duvo+","N","3.4","K ","3.8","","","","23.99","U","","1","1","21/07/2020","51.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
"","5414365358952","12353","12301","","LIT DE CAMP POUR CHIENS RELAX XL","LIT DE CAMP POUR CHIENS RELAX XL","","LIT DE CAMP POUR CHIENS RELAX 118X74X19CM GRIS","6","5","20","111","C","03","VC","PERM","Duvo+","N","3.7","K ","4.2","","","","25.99","U","","1","1","21/07/2020","54.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
"","5414365367527","12806","12301","","PANIER LAGUNA + COUSSIN S ","PANIER LAGUNA + COUSSIN S ","","PANIER LAGUNA + COUSSIN S - 46X30X20CM","6","5","20","111","C","03","VC","PERM","Duvo+","N","1.671","K ","1.674","","","","11.99","U","","1","1","21/07/2020","24.95","21/07/2020","","","U","","1","","","","","","1","1","1","","O","21/07/2020","","N","","","C",""
