"CODPRO","GAMME"
"Code des Produits","Gamme Produit"
"837992","B"
"837993","B"
"837994","B"
"837995","B"
"837996","B"
"837997","B"
"837998","B"
"837999","B"
"838000","B"
"838001","B"
"838002","B"
"838003","B"
"838004","B"
"838005","B"
"838006","B"
"838007","B"
"838008","B"
"838009","B"
"838010","B"
"838011","B"
"838012","B"
"838013","B"
"838014","B"
"838015","B"
"838016","B"
"838017","B"
"838018","B"
"838019","B"
"838020","B"
"838021","B"
"838022","B"
"838023","B"
"838024","B"
"838025","B"
"838026","B"
"838027","B"
"838028","B"
"838029","B"
"838030","B"
"838031","B"
"838032","B"
"838033","B"
"838034","B"
"838035","B"
"838036","B"
"838037","B"
"838038","B"
"838039","B"
"838040","B"
"838041","B"
"838042","B"
"838043","B"
"838044","B"
"838045","B"
"838046","B"
"838047","B"
"838048","B"
"838049","B"
"838050","B"
"838051","B"
"838052","B"
"838053","B"
"838054","B"
"838055","B"
"838056","B"
"838057","B"
"838058","B"
"838059","B"
"838060","B"
"838061","B"
"838062","B"
"838063","B"
"838064","B"
"838065","B"
"838066","B"
"838067","B"
"838068","B"
"838069","B"
"838070","B"
"838071","B"
"838072","B"
"838073","B"
"838074","B"
"838075","B"
"838076","B"
"838077","B"
"838078","B"
"838079","B"
"838080","B"
"838081","B"
"838082","B"
"838083","B"
"838084","B"
"838085","B"
"838086","B"
"838087","B"
"838088","B"
"838089","B"
"838090","B"
"838091","B"
"838092","B"
"838093","B"
"838094","B"
"838095","B"
"838096","B"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
