"CODPRO","GAMME"
"Code des Produits","Gamme Produit"
"828418","A"
"828419","A"
"828420","A"
"828421","A"
"828422","A"
"828423","A"
"828424","A"
"828425","A"
"828426","A"
"828427","A"
"828428","A"
"828429","A"
"828430","A"
"828431","A"
"828432","A"
"828433","A"
"828434","A"
"828435","A"
"828436","A"
"828437","A"
"828438","A"
"828439","A"
"828440","A"
"828441","A"
"828442","A"
"828443","A"
"828444","A"
"828445","A"
"828446","A"
"828447","A"
"828448","A"
"828449","A"
"828450","A"
"828451","A"
"828452","A"
"828453","A"
"828454","A"
"828482","A"
"828483","A"
"828485","A"
"828486","A"
"828488","A"
"828489","A"
"828490","A"
"828491","A"
"828492","A"
"828493","A"
"828494","A"
"828495","A"
"828496","A"
"828497","A"
"828498","A"
"828499","A"
"828500","A"
"828501","A"
"828502","A"
"828503","A"
"828504","A"
"828505","A"
"828506","A"
"828507","A"
"828508","A"
"828509","A"
"828510","A"
"828511","A"
"828512","A"
"828530","A"
"828868","A"
"828869","A"
"828870","A"
"828871","A"
"828872","A"
"828873","A"
"828874","A"
"828875","A"
"828876","A"
"828877","A"
"828878","A"
"828879","A"
"828880","A"
"828881","A"
"828882","A"
"828883","A"
"828884","A"
"828885","A"
"828886","A"
"828887","A"
"828888","A"
"828889","A"
"828890","A"
"828891","A"
"828892","A"
"828893","A"
"828894","A"
"828895","A"
"828896","A"
"828897","A"
"828898","A"
"828899","A"
"828900","A"
"828901","A"
"828917","A"
"828918","A"
"828919","A"
"828920","A"
"828921","A"
"828922","A"
"828923","A"
"828924","A"
"828925","A"
"828926","A"
"828927","A"
"828929","A"
"828930","A"
"828931","A"
"828932","A"
"828933","A"
"828934","A"
"828935","A"
"828936","A"
"828937","A"
"828938","A"
"828939","A"
"828940","A"
"828941","A"
"828942","A"
"828943","A"
"828944","A"
"828945","A"
"828946","A"
"828947","A"
"828948","A"
"828949","A"
"828950","A"
"828951","A"
"828952","A"
"828953","A"
"828954","A"
"828955","A"
"828956","A"
"828957","A"
"828958","A"
"828959","A"
"828960","A"
"828961","A"
"828962","A"
"828963","A"
